src,trg,pred
,,<unk> A group of men loading their a truck . truck . . truck . . truck . . truck .
Ein Ein Zwei Ein Eine Ein Ein Ein Eine Ein Eine Drei Eine Eine Drei Ein Eine Eine Drei Ein Frau Ein Ein Bauarbeiter Zwei Ein Drei Eine Ein Ein Eine Kind Eine Eine Eine Menschen Ein Ein Ein Ein Eine Eine Ein Ein Junge Ein Zwei Eine Ein Drei Zwei Zwei Eine <unk> Ein Ein Ein Ein Eine Drei Ein Ein Zwei Eine Eine Ein Baby Eine Zwei <unk> Zwei Ein Ein Kinder Zwei Zwei Eine Ein Mann Eine Eine Ein Eine Ein Eine Frauen Der Der Ein Ein Ein Ein Ein Ein Eine Zwei Viele Einige Ein Ein Männer Mehrere Ein Ein Eine Eine Zwei Zwei Eine Zwei Ein Drei Ein Ein Die Ein Ein Eine Eine Vier Ein Ein Ein Ein Ein Zwei Ein,A A Two A A A A A A A A Three A A Three A A A Three A Woman A An Construction Two A Three A A A A Child A A A People A A A A A A An A Young A Two An A Three Two Two A Beach Sitting A A A A Three A A Two A A A Baby A Two Green Two A A Kids Two Two A A Man A A A A A A Women The The A A A A A A A <unk> Many Some A An Men Several A A A A Two Two A Two An Three A A The A A A A Four A A A A One Two A,<unk> A man sleeping in a a room on a couch . . . . . . . . . .
Mann Junge Männer Mann Frau brauner kleiner Mann lächelnde kleines Person kleine Frau Frau Menschen <unk> Gruppe junge Mädchen einzelner und Mann asiatisches stehen Hunde süßes Männer Person Traktor junges Person spielt Person Gruppe Frau gehen Mann großer blonder junger Person Band älterer Mann Erwachsene kleiner kurzhaarige aufwendig Hund kleine Männer Mädchen Gruppe blicken Mädchen Mann Mann Mann Frau Frauen rotes Mann Bauarbeiter bunt Frau Mann sieht Reinigungskraft kleine <unk> Menschen Mann Kind fahren Menschen Männer Frau Polizist steht Gruppe Frau einzelner Person kleines junge gehen <unk> braune braun-weißer Kind älterer kleines als braun junge Kinder Stühle Männer junger älterer in Menschen brauner Wanderer Gruppe Frau Frauen brünette Person Menschen alter Kinder Junge blauer Frau Mann Hund junge <unk> Menschen Mann Mann kleiner kleines Mann Pudel kleines,man boy men balding lady brown young man smiling young person young woman female people half group young girls single and man Asian workers dogs cute men person tractor young person playing person group woman are man large blond young person band elderly man adults young women elaborate dog small man girls group goers casually man man man woman women red man construction woman woman man looking janitor little traffic people man child are people men woman policeman standing group woman lone person small young walking FedEx brown brown child older young child man young children of men young older wearing people brown hiker group woman women brunette person people old children boy blue lady man dog young three people man man young small man poodles little,<unk> A boy in a is sitting on a shoulders 's shoulders . . . . . . . . . . .
"schläft mit bauen mit in Hund Junge telefoniert Frau Kind auf Kinder sitzt spielt auf Mann von Frau , Mann Mann mit Mädchen auf spielen Baby gehen beim bewegt Mädchen überquert auf in von sitzt auf mit brauner Junge weißer wirft gibt Mann fährt in Junge Frauen kostümierte geht Hunde paddeln gehen von auf sitzt isst mit in mit sitzen Flugzeug in helfen gekleidete mit mit sich ist schwarze auf klettern und macht in halten beim in hält auf schottischer und Feuerwehrmann in Mädchen Frau durch hört Hund Hund macht Japaner Kind Spiderman gekleideter Frau graben sind sitzen Mann , gelben stehen Hund posiert von lächelt stehen Frauen mit überqueren Mann sehen übernimmt Jeep mit sitzt geht Asiatin tritt protestieren brät mit Junge Kind und rennen rothaariges","sleeping wearing setting man in dog boy in woman child on children is playing on naked of woman make man man in girl standing play baby are is is girl crosses on wearing of sits walking with brown boy white about plays man drives wearing boy with costumed walking dogs are walking of look in in in in with smiling plane in workers in in is at about black <unk> are and is riding are in in stopping on of and firefighter with girl woman through driver dog a is Japanese child that dressed woman dig the are man , yellow are dog posing of is are women wearing walking man watch who Jeep wearing sitting treads Asian man are cooking in boy child and are redheaded",<unk> Two men are a a blue container on a tiled lake . . . . . . . . . . .
in Kopfhörern eine beginnender einem rennt mit in mit steht einem stehen bei ein zwei schläft Menschen fertigt von in gehen einem mit einer im lächelt auf Parasailing Erde läuft die einem einem Menschen an einem einem Hund in Mann gerade ein geht ein einer wirft stehen Figur mit schnüffeln in eine Kindern ein in in Anzug einem pinkfarbener da fliegt einem beim Frau blauem goldfarbener die im Jungen Grün mit eine einen einem einen Militär einem ein einem Offiziere ein hilft einem liegt und den dem trägt rennt sich versucht und verkleidetes Mann singt Löcher leer in trägt übergewichtiger Anzügen in kaut für Kindern neben vor sprechen Hut eine hält zu bei fährt einem auf durch vollführt auf gegen Burger einer in isst zwei durch Mädchen,"in headphones up wearing a is wearing a in is a stand sitting a two man people is faces in walking a in on with is walking parasailing moving running the a a people at down a dog in male in a is an red , short figure through <unk> paddling down kids at a a a a a and flying a assist a a wearing the to boys light climbing woman doing a holding the a a a Scottish a helps a is and deep listens is white getting man and is in stands holes chairs sitting is overweight suits standing chewing for children smiling standing talking a across is a is drive a on through woman band protesting burgers a in eating two running girl",<unk> A balding man wearing a red red jacket is sitting in a small boat . . . . . . . . .
"einem sitzt blaue Glatze rotem dem einem einem einem allein Schneemobil um ihrem Lied Geländemotorrädern draußen steht im denen einem über Rock grünem Maschine hohen einem einer über für allein Straße Spielplatz roten sammelt einer Gehweg blauen hält einem fegt eine Rockkonzert mit altmodisches geraden einen einander vor einem an einem Straße sitzt Herz bequemer einem und schwarzen Tasche und über Klettergurt <unk> geht Hut Kleidung Blätter Begriff spielen , einem Frau Rückwärtssalto Kettenkarussell großen spielen schwarzen Fahrzeug Pier gibt Kind bei lilafarbenen auf eine Tiefschnee Arbeiter ein eine bereit , eine Kind hält in in und einem etwas Mann und der auf ein spielt einem einer vor und Straße einen , einem in schwarzen dem eine in einer die auf roten einem Obst Frauen den in","a sits a a red running a cluttered a standing snowmobile around by song dirt is standing making as a across skirt a top an smiling on over dirt by street playground red <unk> a a blue is a is the rock walking old , throwing hair is a at a the sitting a public restaurant suit black pink sitting over harness in colorful blue a leaves mop are up a fishing a swinging a military black vehicle pier officers child tame purple lying older snow to wearing dog ready trying a dressed brown singing in are on carrying man are near on a play next in to hat a holding man taking into black the a is is the on red yellow fruit women through wears","<unk> A woman in a red coat , a a of of of in a a blue plastic , in a air . a . . ."
"grünen auf <unk> , Mantel schwarzen <unk> unaufgeräumten pfirsichfarbenen auf mitten ein <unk> auf und auf vor <unk> eines schwarzen hölzerne hüpft Hut Gras anderen Straße einem den durch und und <unk> sich dunklen , Rucksack sein blauen eine grüne vor einem rotes Linie Stein gegenüber einem Tuch etwas Kajak entlang hinten , Haltung Restaurant Brille Neoprenanzug sitzt lächeln einem klettert eines an und steht am , mit während Seil fischen , <unk> Baseball Kleid am neben eine sitzen der Oberteil dem ältere einen mit schwarzes <unk> , eine Frau <unk> ein ein die nur Boot in wendet ein Dämmerung einem Foto im Mann Schulklasse einer Schal . Hund wie Rennen tiefes Hut Boden <unk> einem Bühne Behandlung einem Baseballkappe gelben und in Schnee einem","green on blue red coat after Giants office peach alone in a her on - sleeping in rugs one black wooden is green of orange at a a to herself and , long around dark sidewalk backpack sticking blue sweeping middle show a - yellow a are in small something kayak street in heart place having and wetsuit purse down a climbing the outfit hat gold on in playing as rock at back carnival large are dress on next doing sit a shirt on woman and the a runs to to woman as holding at the empty a something flips on trees a photo in to front a and street up on a deep hat ground shallow jumping performing treatment a baseball t and wearing the a",<unk> A brown dog running running black dog . black dog . . . . . . . . . . .
"Raum den auf der , Hund schwingt Büro Trägershirt einem im blau-weißes auf ihrer einem seinem einer Teppiche gerade T-Shirt Hängebrücke und und mit Kind in großen Bau einen <unk> hängt liegt um Bar an liest Gesicht T-Shirt Veranda Bowlingkugel Zuschauern braunen Rennauto , in und prächtig im . einen . in das an zu hält surft auf . Boot an <unk> einem gelbem neben Zweig eine Plastikflaschen die an am während Globus . schiebt Straßenrand einem Vorführung zusammen <unk> malt Boden Frau steilen dem Halsband Rampe ein kleine stehen an <unk> Mikrofon Erde einige in einem einen Klavier in großen in Wasser , und Klasse blickt empor ein einen , macht und <unk> belebten auf junger schwarzen lehnt T-Shirt trinkt Shorts . <unk>","room a ice life , the jersey is tank on mid blue dried her bikes on front in takes t rope jumping hat a toy another road large help in <unk> hanging - a bar where reads his t a of to brown fashioned , stone facing front stream . along . the left , lunch glass is is . boat a loading is and outfit a a with people wall the flip ride upside playing is the to a together large is the wear down workman black down read fix are Spiderman a a dirt with boat in a stage at large in the man of classroom scarf . one stage stick , is , area midair on of black cap - drinking shorts snow Spider",<unk> A little boy with a baseball baseball baseball bat bat bat in a ball . . . . . . . . . .
"auf Schultern einem eine die hinterher einen hält zerklüfteten Sprung Fass einem Geige Quad Stuhl <unk> an trinkt <unk> mit jongliert Schürze einem zu den Gewässer einer Park dabei dabei auf einen . dem die in steht mit eine in Hund . die <unk> die geschmückten Maul Fluss einem von einem Mittag einen auf einer und einer auf weißen Rock seinem eines Bahnstation und Menschen einem Strand es mit einen an Boot . in eines ein , in Abhang grünen . hinunter Buch <unk> um der . , . wenige der großen Pfannkuchen befinden der Holzstück einer unter der sprechen voll nach , Mann Stab schlammiges ein spielt , Stadtteil . Arbeiter Grill an hängt ein gehen reitet","on woman fishing jacket holding black swings using top some jump and flower violin and his of the a - bridge while and piece in child in body build a the from sleeved man . there the face - porch throwing a dog red and into each of with a back in a . has surfing sitting as rock of walking yellow while branch train plastic look with beach whilst - baseball pushing side a demonstration in fire painting floor traditional a in collar a a a standing is light microphone . only near a pancake with dusk piece an water who a full looks dog playing from muddy taking playing of in stage young grill is shirt a , . -",<unk> A man is in in a shop . . . . . . . . . . .
"einem einer <unk> rote eine . Baseballschläger ein Felsen . herum Freiluftmarkt . fahren . auf , die Warnschild dabei serviert orangen . Bergen . Stützmauer . die an sehr Mann ein Zeitung den lächelnd einem Bowlingbahn einer an rote Wasser blonde Bauwerk durch mit Van einem öffentlichen . Gegenstand einer Bank zieht Felswand einer Lastwagen springt goldfarbenen Baumes zu haben sich Felsen . auf einem Wagen . an einem großen Bild während traditionellen hinunter Schutzhelm . zu Maschine einen Tür während Menschen Nähe schwarzen , sich Nähe herum trockenen einer ebenfalls über mit rechts während auf von Wasser Foto Gitarre die einen durch . einem an Glas die auf",a 's hut is a dog a the stands jagged . white display . one chair a rain drink shirt with juggling apron of tall . the of up park spill bars shirt in is paper in shirt with a bar using race black calm other a a river of the girl an on on it wall a by skirt standing of station bottles at a . jumping down . a of boat . a . an while saris steep the . yellow book small around <unk> <unk> while a a large while a . of arid under is class of to while guitar a water a guitar water a . workers . leaning hanging glass walk Man,<unk> A smiling woman with a holding holding holding a a . . . . . . . . . .
"Sofa Frau See Rettungsweste vermutlich in Mountainbike . . . durch einem stehen anderen daneben mit Getränke Spielzeug . . <unk> Stangen <unk> in Freiluftmarkt , Rasensprenger vor großen entlang Bar einer , . Frau . einen grünen und <unk> Ort in Welle . dabei innerstädtischen vorbei an Fahrrad an wischen dabei Motorräder . einem <unk> mit einem <unk> <unk> von ihre Saris . zu lesen zu Hahn . ein genießen eines <unk> während auf einiger . Berglandschaft Brücke lächelt ein blonden . sein einer einem . bei . sich Luftsprung <unk> Laternenpfahl einem Saft Straße einem",couch shoulders on sitting bluish . baseball telephone holding rocks barrel at four outdoors hut forest while standing a knives is machinery grass mountains water a . of . is a an while the stands a green audience a car shirts water and brightly rag with a sky reads object a a trails dump a is with a . and motorcycles rope on earth cart the on door image her as hill green and . red a the . a few beach black making piano wood mountain a also of blond the his . girl . picture . located crowded by against from of down suit,<unk> A small child stands alone on a rock rock . . . . . . . . . .
". . auf trägt aus Richtung braunes Parkplatz in Menschen . Messern auf . Farbe . Art einem stattfindet während . einem Besen . . roten gelbe spricht kleinen Bäumen sieht am und den . pinkfarbenen Baustelle , einer . . . viel ansehen Trampolin von <unk> ruhigen an . einer jüngere spinnen , . reparieren im Mann die Strandes . er der Bäume . . und Buch Kindern anderer Bühne Mädchen Schneefall an . . . Ring . entlang Spielzeugpferd",. . an in hand bat a . . an - . in they above caution . serving . . . . retaining paint lying suit outdoors waiting sprinkler smiling large bowling . red . in . the decorated in green van by holding in wave bench pink truck white jumping his tree having . . a globe with road a frame of younger they . hard blue and caged <unk> man people covered plastic breakfast and . landscape bridge smiling children children right other in while on city <unk> a a juice the while,<unk> Person on a ski ski in in the middle . . . . . . . . . . .
", Asien eines Gras . einer in . einem . auf Anzug . er Boot . Leine und . Bach auf sich Himmel liest Händen Rauch . der mit Spaß . hüpft <unk> einen See einem Frau Schwester Textilien während . Käfig hinter Sonne , Frühstück Bühne . eine . . Hund Gitarre . . einem und . .","iced a bag at mountain outside wheeler a stand the sign drinks wall . down and market to . before broom ball leash a blond structure his trees together a the his . . smoke at truck in gold . a trampoline , <unk> . still along a sister spin hat ramp gray rooster . behind enjoying in garbage . one . . while talking . . dog the the a part . light ring . street riding",<unk> Three young children stand around a giant of . . . . . . . . . .
